date,Strategy,SPY JPY,QQQ JPY,Static Equal Weight,Strategy Drawdown,SPY JPY Drawdown,QQQ JPY Drawdown,Static Equal Weight Drawdown
2016-11-23,184085.2142926493,151981.24085558282,281144.496325273,191086.1439239406,-0.22038061665475261,-0.051850163789257,-0.06289089928987102,-0.06258212127450935
2016-11-25,184085.2142926493,155687.37562019596,287861.11277729756,195074.84625018598,-0.22038061665475261,-0.028729079566882643,-0.040503114768243975,-0.04301460687103342
2016-11-28,184085.2142926493,154081.0823731681,285580.1113362768,194312.22092182082,-0.22038061665475261,-0.03875009709840227,-0.048106134699462566,-0.04675584421508161
2016-11-29,184085.2142926493,153063.23512781668,284127.2811622818,192762.0535476588,-0.22038061665475261,-0.045100036693148216,-0.05294869927259882,-0.05436055370220594
2016-11-30,184085.2142926493,153762.3793675388,282624.6692531928,192446.89960142405,-0.22038061665475261,-0.04073835697104289,-0.05795719601803617,-0.055906615272577787
2016-12-01,184085.2142926493,156226.57589917927,283200.65119638265,194953.26773277594,-0.22038061665475261,-0.02536522588780521,-0.05603733655835297,-0.04361103879199191
2016-12-02,184085.2142926493,155235.04013897845,281826.3844197358,194220.67336601444,-0.22038061665475261,-0.03155101870893917,-0.0606180341001229,-0.04720495221320353
2016-12-05,184085.2142926493,155613.92911423725,283026.16739101236,193915.07895346067,-0.22038061665475261,-0.029187282778035284,-0.056618924901984835,-0.04870411724989254
2016-12-06,184085.2142926493,156599.19438976838,284605.24411258305,194767.9888234438,-0.22038061665475261,-0.023040608988822986,-0.05135555611531162,-0.04451996791993462
2016-12-07,184085.2142926493,158882.66824653282,288711.77431384014,196678.22035737598,-0.22038061665475261,-0.008794933989103582,-0.03766769498255551,-0.03514887928084409
2016-12-08,184085.2142926493,158812.50318135417,288367.7346482406,196006.60447755962,-0.22038061665475261,-0.00923266561099545,-0.0388144458734766,-0.03844364843808035
2016-12-09,184085.2142926493,160308.8146999188,291569.7948103393,196567.08861675172,-0.22038061665475261,0.0,-0.02814135869537182,-0.03569406208905723
2016-12-12,184085.2142926493,161965.7502134899,293645.341935344,198751.6792657903,-0.22038061665475261,0.0,-0.021223157822805705,-0.024977040487949242
2016-12-13,184085.2142926493,162439.0939358156,296316.0588855089,198877.2137554626,-0.22038061665475261,0.0,-0.012321140560747068,-0.02436120161758959
