date,cash_jpy,equity_jpy,QUAL_value_jpy,QUAL_weight,USMV_value_jpy,USMV_weight,SPY_value_jpy,SPY_weight,QQQ_value_jpy,QQQ_weight,market_weight
2014-05-29,0.024859351295162924,99545.95512009112,49529.580879194706,0.4975549314830801,50016.34938154512,0.5024448187895325,0.0,0.0,0.0,0.0,0.9999997502726127
2014-05-30,0.024859351295162924,99876.59977630914,49688.5683094796,0.4974995987124683,50188.00660747826,0.5025001523868748,0.0,0.0,0.0,0.0,0.999999751099343
2014-06-02,0.024859351295162924,100037.11305233928,49799.32006689581,0.49780844875882085,50237.76812609218,0.5021913027398927,0.0,0.0,0.0,0.0,0.9999997514987135
2014-06-03,0.024859351295162924,100403.70338545115,49952.35475399017,0.49751506238990423,50451.32377210969,0.502484690016128,0.0,0.0,0.0,0.0,0.9999997524060322
2014-06-04,0.024859351295162924,100839.7429009271,50123.899179257285,0.49706492437711736,50715.81886231852,0.502934829099532,0.0,0.0,0.0,0.0,0.9999997534766494
2014-06-05,0.024859351295162924,101483.75719231341,50506.222038679356,0.49767788891545695,50977.51029428276,0.5023218661256257,0.0,0.0,0.0,0.0,0.9999997550410826
2014-06-06,0.024859351295162924,101524.22244675766,50579.04097298055,0.49819678254128674,50945.15661442582,0.5018029725974309,0.0,0.0,0.0,0.0,0.9999997551387176
2014-06-09,0.024859351295162924,101610.48735367715,50650.63486659131,0.49847841680249877,50959.827627734536,0.5015213385441003,0.0,0.0,0.0,0.0,0.9999997553465991
2014-06-10,0.024859351295162924,101383.06789984141,50546.37289190136,0.49856819229259514,50836.67014858875,0.5014315625052048,0.0,0.0,0.0,0.0,0.9999997547978
2014-06-11,0.024859351295162924,100821.77639925407,50299.682213727414,0.49889700429935646,50522.06932617536,0.5011027491333623,0.0,0.0,0.0,0.0,0.9999997534327187
2014-06-12,0.024859351295162924,99837.39525861903,49661.03492547984,0.49741917642019584,50176.3354737879,0.502580574581408,0.0,0.0,0.0,0.0,0.9999997510016039
2014-06-13,0.024859351295162924,99767.7169694586,49616.715504637636,0.49732235047361617,50150.97660546968,0.502677400354086,0.0,0.0,0.0,0.0,0.9999997508277021
2014-06-16,0.024859351295162924,100101.83511486991,49791.93459386648,0.4974128050372774,50309.87566165214,0.5025869466221076,0.0,0.0,0.0,0.0,0.999999751659385
2014-06-17,0.024859351295162924,100142.42204956627,49839.57264441777,0.49768691054575537,50302.824545797215,0.5023128412142802,0.0,0.0,0.0,0.0,0.9999997517600355
2014-06-18,0.024859351295162924,100970.54331594183,50135.56751536573,0.4965365726367249,50834.95094122481,0.5034631811592786,0.0,0.0,0.0,0.0,0.9999997537960035
2014-06-19,0.024859351295162924,101018.57527856667,50134.42564526822,0.49628917757965396,50884.12477394715,0.5037105763334137,0.0,0.0,0.0,0.0,0.9999997539130677
2014-06-20,0.024859351295162924,101209.03334445007,50223.24281901154,0.496232808074395,50985.76566608723,0.5037669463017661,0.0,0.0,0.0,0.0,0.9999997543761612
2014-06-23,0.024859351295162924,101262.29964249146,50290.25391194694,0.49663353577291514,50972.02087119323,0.5033662187324498,0.0,0.0,0.0,0.0,0.9999997545053649
2014-06-24,0.024859351295162924,100566.48185363962,49882.75654711813,0.49601771512416504,50683.700447170195,0.5039820376826267,0.0,0.0,0.0,0.0,0.9999997528067918
2014-06-25,0.024859351295162924,101009.04144349499,50129.01667695271,0.49628247096073236,50879.999907190984,0.5037172829291082,0.0,0.0,0.0,0.0,0.9999997538898405
2014-06-26,0.024859351295162924,100758.72481551056,49988.27002223147,0.49611852585232785,50770.4299339278,0.503881227426097,0.0,0.0,0.0,0.0,0.9999997532784248
2014-06-27,0.024859351295162924,100791.68375212466,50020.67781839663,0.4962778272601504,50770.98107437674,0.5037219260989526,0.0,0.0,0.0,0.0,0.999999753359103
2014-06-30,0.024859351295162924,100535.21113096937,49847.499874997695,0.49582130792026974,50687.68639662038,0.5041784448096344,0.0,0.0,0.0,0.0,0.9999997527299042
2014-07-01,0.000186975455449101,101174.61422338393,50682.81084287528,0.5009439495462019,50491.80319353321,0.4990560486057511,0.0,0.0,0.0,0.0,0.999999998151953
2014-07-02,0.000186975455449101,101386.70129670383,50851.43545124789,0.5015592262187656,50535.26565848049,0.4984407719370532,0.0,0.0,0.0,0.0,0.9999999981558187
2014-07-03,0.000186975455449101,102140.73905222322,51284.795528989765,0.5020993190852919,50855.943336258,0.4979006790841412,0.0,0.0,0.0,0.0,0.9999999981694332
2014-07-07,0.000186975455449101,102168.78239922528,51268.21938957662,0.5017992598682998,50900.562822673215,0.49820073830163586,0.0,0.0,0.0,0.0,0.9999999981699357
2014-07-08,0.000186975455449101,101479.53167829129,50841.98823683269,0.5010073203531438,50637.54325448316,0.4989926778043621,0.0,0.0,0.0,0.0,0.9999999981575058
2014-07-09,0.000186975455449101,101481.59347998278,50837.468566876676,0.5009526045420676,50644.124726130656,0.4990473936154757,0.0,0.0,0.0,0.0,0.9999999981575433
