date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2020-06-23,682.2649567739378,0.0,287.368762859,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-24,682.2649567739378,0.0,280.038349937,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-25,682.2649567739378,0.0,283.040503973,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-26,682.2649567739378,0.0,276.317889107,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-29,682.2649567739378,0.0,280.379085211,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-30,682.2649567739378,0.0,283.97061918,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-01,682.2649567739378,0.0,285.959776455,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-02,682.2649567739378,0.0,287.534525965,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-06,682.2649567739378,0.0,291.973293589,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-07,682.2649567739378,0.0,288.961930491,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-08,682.2649567739378,0.0,291.172105242,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-09,682.2649567739378,0.0,289.514474179,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-10,682.2649567739378,0.0,292.470582908,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-13,682.2649567739378,0.0,289.938091006,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-14,682.2649567739378,0.0,293.695388082,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-15,682.2649567739378,0.0,296.39364309,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-16,682.2649567739378,0.0,295.417482575,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
