date,cash_jpy,quantity,position_value_jpy,equity_jpy,gross_equity_jpy,market_weight,usdjpy
2022-03-17,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,118.87000274658205
2022-03-18,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,118.48600006103516
2022-03-21,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,119.26300048828124
2022-03-22,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,119.59400177001952
2022-03-23,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,121.33999633789062
2022-03-24,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,121.1269989013672
2022-03-25,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,122.34600067138672
2022-03-28,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,122.2699966430664
2022-03-29,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,123.66000366210938
2022-03-30,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,123.125
2022-03-31,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,122.02100372314452
2022-04-01,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,121.75599670410156
2022-04-04,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,122.61000061035156
2022-04-05,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,122.80899810791016
2022-04-06,63679.607089600846,0.4086262022772523,21295.170740495247,84974.77783009609,104887.62798408295,0.25060578308394227,123.65599822998048
2022-04-07,63679.607089600846,0.4086262022772523,21414.073069383026,85093.68015898387,105034.70370202616,0.2516529198099585,123.7229995727539
2022-04-08,63679.607089600846,0.4086262022772523,21421.199052374872,85100.80614197571,105043.51815565696,0.25171558324180116,124.09600067138672
2022-04-11,63679.607089600846,0.4086262022772523,21104.095689636477,84783.70277923733,104651.27853198256,0.24891689083912782,124.38500213623048
2022-04-12,63679.607089600846,0.4086262022772523,21209.64530339107,84889.25239299191,104781.83766708778,0.24985077268912367,125.47200012207033
2022-04-13,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,125.41600036621094
